Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2010-05-06,10.96,11.27,9.72,10.75,5244700,10.35,ACTINVRB.MX
2010-05-07,10.75,10.8,10.75,10.77,1054000,10.37,ACTINVRB.MX
2010-05-10,10.8,11.25,10.75,10.9,407900,10.5,ACTINVRB.MX
2010-05-11,10.75,10.9,10.75,10.85,222200,10.45,ACTINVRB.MX
2010-05-12,10.9,11.0,10.75,10.9,1502000,10.5,ACTINVRB.MX
2010-05-13,10.95,10.95,10.85,10.88,144900,10.48,ACTINVRB.MX
2010-05-14,10.8,10.8,10.7,10.8,815700,10.4,ACTINVRB.MX
2010-05-17,10.79,10.79,10.7,10.75,39200,10.35,ACTINVRB.MX
2010-05-18,10.75,10.79,10.68,10.68,63500,10.29,ACTINVRB.MX
2010-05-19,10.6,10.7,10.58,10.7,310600,10.31,ACTINVRB.MX
2010-05-20,10.68,10.68,10.55,10.55,296800,10.16,ACTINVRB.MX
2010-05-21,10.55,10.65,10.55,10.65,993400,10.26,ACTINVRB.MX
2010-05-24,10.7,10.7,10.6,10.6,60500,10.21,ACTINVRB.MX
2010-05-25,10.5,10.6,10.5,10.6,130900,10.21,ACTINVRB.MX
2010-05-26,10.7,10.7,10.55,10.6,336800,10.21,ACTINVRB.MX
2010-05-27,10.6,10.75,10.56,10.67,163500,10.28,ACTINVRB.MX
2010-05-28,10.67,10.67,10.67,10.67,0,10.28,ACTINVRB.MX
2010-05-31,10.75,10.85,10.58,10.85,282600,10.45,ACTINVRB.MX
2010-06-01,10.7,10.7,10.7,10.7,6900,10.31,ACTINVRB.MX
2010-06-02,10.6,10.7,10.6,10.7,90300,10.31,ACTINVRB.MX
2010-06-03,10.68,10.7,10.68,10.7,11000,10.31,ACTINVRB.MX
2010-06-04,10.7,10.7,10.6,10.7,16200,10.31,ACTINVRB.MX
2010-06-07,10.6,10.61,10.58,10.58,371200,10.19,ACTINVRB.MX
2010-06-08,10.58,10.58,10.58,10.58,41500,10.19,ACTINVRB.MX
2010-06-09,10.73,10.73,10.58,10.71,23800,10.32,ACTINVRB.MX
2010-06-10,10.72,10.72,10.61,10.7,25000,10.31,ACTINVRB.MX
2010-06-11,10.72,10.73,10.65,10.7,46300,10.31,ACTINVRB.MX
2010-06-14,10.6,10.7,10.6,10.7,43600,10.31,ACTINVRB.MX
2010-06-15,10.6,10.75,10.6,10.75,172500,10.35,ACTINVRB.MX
2010-06-16,10.75,10.75,10.7,10.73,186100,10.34,ACTINVRB.MX
2010-06-17,10.71,10.72,10.71,10.72,15000,10.33,ACTINVRB.MX
2010-06-18,10.72,10.74,10.6,10.74,15700,10.34,ACTINVRB.MX
2010-06-21,10.75,10.75,10.74,10.74,4600,10.34,ACTINVRB.MX
2010-06-22,10.72,10.72,10.58,10.58,0,10.19,ACTINVRB.MX
2010-06-23,10.73,10.73,10.65,10.65,39500,10.26,ACTINVRB.MX
2010-06-24,10.6,10.73,10.6,10.73,18200,10.34,ACTINVRB.MX
2010-06-25,10.58,10.71,10.58,10.7,57000,10.31,ACTINVRB.MX
2010-06-28,10.6,10.68,10.6,10.68,70200,10.29,ACTINVRB.MX
2010-06-29,10.67,10.67,10.5,10.5,21200,10.11,ACTINVRB.MX
2010-06-30,10.5,10.7,10.4,10.7,172000,10.31,ACTINVRB.MX
2010-07-01,10.51,10.51,10.51,10.51,100,10.12,ACTINVRB.MX
2010-07-02,10.51,10.68,10.5,10.5,89700,10.11,ACTINVRB.MX
2010-07-05,10.74,10.74,10.5,10.5,13500,10.11,ACTINVRB.MX
2010-07-06,10.7,10.7,10.52,10.52,1100,10.13,ACTINVRB.MX
2010-07-07,10.69,10.69,10.69,10.69,14100,10.3,ACTINVRB.MX
2010-07-08,10.69,10.69,10.6,10.69,223400,10.3,ACTINVRB.MX
2010-07-09,10.65,10.65,10.6,10.6,253300,10.21,ACTINVRB.MX
2010-07-12,10.7,10.7,10.4,10.69,130400,10.3,ACTINVRB.MX
2010-07-13,10.5,10.68,10.5,10.68,5100,10.29,ACTINVRB.MX
2010-07-14,10.67,10.68,10.5,10.68,68200,10.29,ACTINVRB.MX
2010-07-15,10.69,10.69,10.68,10.68,5100,10.29,ACTINVRB.MX
2010-07-16,10.64,10.65,10.64,10.65,1800,10.26,ACTINVRB.MX
2010-07-19,10.64,10.64,10.41,10.62,19900,10.23,ACTINVRB.MX
2010-07-20,10.63,10.64,10.51,10.63,4600,10.24,ACTINVRB.MX
2010-07-21,10.55,10.6,10.53,10.59,79500,10.2,ACTINVRB.MX
2010-07-22,10.59,10.61,10.55,10.59,71500,10.2,ACTINVRB.MX
2010-07-23,10.5,10.65,10.5,10.51,119300,10.12,ACTINVRB.MX
2010-07-26,10.51,10.51,10.5,10.5,58800,10.11,ACTINVRB.MX
2010-07-27,10.5,10.61,10.5,10.5,97800,10.11,ACTINVRB.MX
2010-07-28,10.5,10.61,10.5,10.5,67000,10.11,ACTINVRB.MX
2010-07-29,10.65,10.65,10.6,10.6,1600,10.21,ACTINVRB.MX
2010-07-30,10.6,10.6,10.5,10.5,71700,10.11,ACTINVRB.MX
2010-08-02,10.64,10.65,10.49,10.5,53200,10.11,ACTINVRB.MX
2010-08-03,10.5,10.5,10.4,10.5,21500,10.11,ACTINVRB.MX
2010-08-04,10.5,10.5,10.5,10.5,1100,10.11,ACTINVRB.MX
2010-08-05,10.5,10.6,10.5,10.55,275700,10.16,ACTINVRB.MX
2010-08-06,10.5,10.55,10.5,10.55,32500,10.16,ACTINVRB.MX
2010-08-09,10.5,10.55,10.4,10.4,59000,10.02,ACTINVRB.MX
2010-08-10,10.4,10.5,10.4,10.48,404500,10.09,ACTINVRB.MX
2010-08-11,10.5,10.5,10.45,10.45,13400,10.07,ACTINVRB.MX
2010-08-12,10.56,10.56,10.45,10.56,221100,10.17,ACTINVRB.MX
2010-08-13,10.59,10.6,10.45,10.59,184600,10.2,ACTINVRB.MX
2010-08-16,10.5,10.5,10.5,10.5,97100,10.11,ACTINVRB.MX
