Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2010-12-15,19.5,19.5,19.5,19.5,1000,16.43,MONEXB.MX
2010-12-16,19.1,19.1,19.1,19.1,4000,16.09,MONEXB.MX
2010-12-17,19.5,19.5,19.5,19.5,2900,16.43,MONEXB.MX
2011-01-07,19.7,19.7,19.7,19.7,100,16.6,MONEXB.MX
2011-01-26,19.5,19.5,19.5,19.5,2600,16.43,MONEXB.MX
2011-01-27,19.69,19.69,19.5,19.69,2000,16.59,MONEXB.MX
2011-01-28,19.69,19.69,19.69,19.69,700,16.59,MONEXB.MX
2011-02-08,19.3,19.3,19.3,19.3,5000,16.26,MONEXB.MX
2011-02-14,19.6,19.6,19.6,19.6,1000,16.52,MONEXB.MX
2011-02-15,19.6,19.6,19.6,19.6,100,16.52,MONEXB.MX
2011-02-28,19.5,19.5,19.0,19.5,9800,16.43,MONEXB.MX
2011-03-04,19.6,19.7,19.45,19.6,83500,16.52,MONEXB.MX
2011-03-07,19.5,19.5,19.5,19.5,7000,16.43,MONEXB.MX
2011-03-11,19.7,19.7,19.7,19.7,5000,16.6,MONEXB.MX
2011-03-16,19.7,19.7,19.7,19.7,6200,16.6,MONEXB.MX
2011-03-17,19.6,19.7,19.6,19.6,10900,16.52,MONEXB.MX
2011-03-18,19.7,19.7,19.6,19.7,16500,16.6,MONEXB.MX
2011-03-23,19.76,19.79,19.7,19.76,12000,16.65,MONEXB.MX
2011-03-29,19.8,19.8,19.8,19.8,5000,16.68,MONEXB.MX
2011-03-30,19.8,19.8,19.8,19.8,10000,16.68,MONEXB.MX
2011-04-01,20.0,20.0,20.0,20.0,100,16.85,MONEXB.MX
2011-04-06,19.99,19.99,19.99,19.99,200,16.84,MONEXB.MX
2011-04-08,19.99,19.99,19.99,19.99,500,16.84,MONEXB.MX
2011-04-19,19.71,19.71,19.71,19.71,5000,16.61,MONEXB.MX
2011-04-20,19.7,19.7,19.7,19.7,18000,16.73,MONEXB.MX
2011-04-29,19.2,19.2,19.2,19.2,500,16.3,MONEXB.MX
2011-05-03,19.5,19.5,19.5,19.5,2500,16.56,MONEXB.MX
2011-05-05,19.7,19.7,19.5,19.7,21400,16.73,MONEXB.MX
2011-05-06,19.0,19.0,19.0,19.0,5200,16.13,MONEXB.MX
2011-05-10,19.5,19.5,19.5,19.5,1000,16.56,MONEXB.MX
2011-05-24,19.5,19.5,19.5,19.5,4000,16.56,MONEXB.MX
2011-05-25,19.7,19.7,19.7,19.7,100,16.73,MONEXB.MX
2011-05-27,19.5,19.5,19.5,19.5,200,16.56,MONEXB.MX
2011-05-30,19.5,19.5,19.2,19.5,1000,16.56,MONEXB.MX
2011-05-31,19.9,19.9,19.5,19.9,10100,16.9,MONEXB.MX
2011-06-01,19.6,19.6,19.01,19.6,6000,16.64,MONEXB.MX
2011-06-02,19.0,19.3,19.0,19.0,6500,16.13,MONEXB.MX
2011-06-06,19.85,19.85,19.85,19.85,100,16.85,MONEXB.MX
2011-06-08,19.5,19.5,19.25,19.5,10000,16.56,MONEXB.MX
2011-07-01,19.5,19.5,19.19,19.5,15100,16.56,MONEXB.MX
2011-07-04,19.44,19.44,19.44,19.44,5000,16.51,MONEXB.MX
2011-07-26,19.2,19.2,19.0,19.2,23000,16.5,MONEXB.MX
2011-08-01,18.5,18.5,18.5,18.5,2000,15.89,MONEXB.MX
2011-08-05,18.95,18.95,18.5,18.95,55000,16.28,MONEXB.MX
2011-08-10,18.0,18.0,18.0,18.0,100,15.46,MONEXB.MX
2011-08-11,18.0,18.0,18.0,18.0,6000,15.46,MONEXB.MX
2011-08-18,19.0,19.0,19.0,19.0,100,16.32,MONEXB.MX
2011-08-22,18.5,18.5,17.7,18.5,3000,15.89,MONEXB.MX
2011-09-01,17.5,17.5,17.5,17.5,5000,15.04,MONEXB.MX
2011-09-02,18.0,18.0,17.0,18.0,6000,15.46,MONEXB.MX
2011-09-07,18.0,18.0,17.0,18.0,2200,15.46,MONEXB.MX
2011-09-13,17.0,17.0,17.0,17.0,18400,14.61,MONEXB.MX
2011-09-14,16.4,18.0,16.4,16.4,9100,14.09,MONEXB.MX
2011-09-15,17.0,17.0,17.0,17.0,100,14.61,MONEXB.MX
2011-09-27,17.5,17.5,17.5,17.5,170000,15.04,MONEXB.MX
2011-09-29,17.0,17.0,17.0,17.0,9800,14.61,MONEXB.MX
2011-09-30,18.0,18.0,18.0,18.0,100,15.46,MONEXB.MX
2011-10-10,17.0,17.0,17.0,17.0,25000,14.61,MONEXB.MX
2011-10-11,17.45,17.45,17.45,17.45,1089400,14.99,MONEXB.MX
2011-10-19,17.4,17.5,17.4,17.5,24900,15.21,MONEXB.MX
2011-10-28,17.5,17.5,17.5,17.5,800,15.21,MONEXB.MX
2011-11-10,17.5,17.7,17.5,17.7,75000,15.39,MONEXB.MX
2011-11-15,18.0,18.0,18.0,18.0,575000,15.65,MONEXB.MX
2011-11-17,18.0,18.0,18.0,18.0,0,15.74,MONEXB.MX
2011-11-18,18.0,18.0,18.0,18.0,0,15.74,MONEXB.MX
2011-11-21,18.0,18.0,18.0,18.0,0,15.74,MONEXB.MX
2011-11-22,18.0,18.0,18.0,18.0,600,15.74,MONEXB.MX
2011-11-23,18.0,19.0,18.0,19.0,31000,16.61,MONEXB.MX
2011-11-24,19.0,19.0,19.0,19.0,500,16.61,MONEXB.MX
2011-11-25,19.0,19.0,19.0,19.0,0,16.61,MONEXB.MX
2011-11-28,19.0,19.0,19.0,19.0,0,16.61,MONEXB.MX
2011-11-29,19.0,19.0,19.0,19.0,0,16.61,MONEXB.MX
2011-11-30,18.0,18.0,18.0,18.0,4900,15.74,MONEXB.MX
2011-12-01,18.0,18.0,18.0,18.0,0,15.74,MONEXB.MX
2011-12-02,18.0,18.0,18.0,18.0,0,15.74,MONEXB.MX
2011-12-05,18.0,18.0,18.0,18.0,0,15.74,MONEXB.MX
2011-12-06,18.0,18.0,18.0,18.0,0,15.74,MONEXB.MX
2011-12-07,18.0,18.0,18.0,18.0,0,15.74,MONEXB.MX
2011-12-08,18.0,18.0,18.0,18.0,0,15.74,MONEXB.MX
2011-12-09,18.0,18.0,18.0,18.0,0,15.74,MONEXB.MX
2011-12-12,18.0,18.0,18.0,18.0,0,15.74,MONEXB.MX
